,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-06-30,2022-08-02,1.1657,None,None,None
1,2022-03-31,2022-05-06,0.7889,None,None,None
2,2021-12-31,2022-03-01,0.6051,None,None,None
3,2021-09-30,2021-10-29,1.0722,None,None,None
4,2021-06-30,2021-09-30,0.9677,None,None,None
5,2021-03-31,2021-06-30,0.7133,None,None,None
6,2020-12-31,2021-03-31,0.7794,0,0.7794,None
7,2020-09-30,2020-12-31,-0.2112,None,None,None
8,2020-06-30,2020-07-27,0.2738,None,None,None
9,2020-03-31,2020-04-30,0.1436,None,None,None
10,2019-12-31,2020-02-25,0.4846,None,None,None
11,2019-09-30,2019-10-28,4.92,4.77,0.15,3.1447
12,2019-06-30,2019-07-24,2.28,4.15,-1.87,-45.0602
13,2019-03-31,2019-04-30,2.55,2.72,-0.17,-6.25
14,2018-12-31,2019-02-26,3.58,5.46,-1.88,-34.4322
15,2018-09-30,2018-10-25,8.37,5.22,3.15,60.3448
16,2018-06-30,2018-07-23,4.11,6.08,-1.97,-32.4013
17,2018-03-31,2018-04-27,5.88,4.96,0.92,18.5484
18,2017-12-31,2018-02-26,-6.64,2.75,-9.39,-341.4545
19,2017-09-30,2017-10-23,2.49,2.41,0.08,3.3195
20,2017-06-30,2017-07-20,3.69,3.5,0.19,5.4286
21,2017-03-31,2017-04-27,4.11,1.58,2.53,160.1266
22,2016-12-31,2017-02-23,3.57,2.86,0.71,24.8252
23,2016-09-30,2016-10-19,5.1,2.39,2.71,113.3891
24,2016-06-30,2016-07-21,10.95,2.32,8.63,371.9828
25,2016-03-31,2016-04-26,6.36,1.36,5,367.6471
26,2015-12-31,2016-02-29,2.04,1.77,0.27,15.2542
27,2015-09-30,2015-10-29,-1.8,2.35,-4.15,-176.5957
28,2015-06-30,2015-07-24,2.49,1.84,0.65,35.3261
29,2015-03-31,2015-04-30,0.89,1.55,-0.66,-42.5806
30,2014-12-31,2015-02-27,2.07,3.14,-1.07,-34.0764
31,2014-09-30,2014-10-28,2.79,2.33,0.46,19.7425
32,2014-06-30,2014-07-24,2.4,1.05,1.35,128.5714
33,2014-03-31,2014-04-29,1.97,0.63,1.34,212.6984
34,2013-12-31,2014-02-28,2.92,-0.23,3.15,1369.5652
35,2013-09-30,2013-10-25,3.07,3,0.07,2.3333
36,2013-06-30,2013-07-25,3.32,2.73,0.59,21.6117
37,2013-03-31,2013-05-27,1.83,1.84,-0.01,-0.5435
38,2012-12-31,2013-02-27,-0.1314,0.88,-1.0114,-114.9318
39,2012-09-30,2012-10-26,1.16,1.63,-0.47,-28.8344
40,2012-06-30,2012-07-26,2.11,1.32,0.79,59.8485
41,2012-03-31,2012-05-03,1.47,1.12,0.35,31.25
42,2011-12-31,2012-02-14,2.24,0.73,1.51,206.8493
43,2011-09-30,2011-10-24,1.38,1.26,0.12,9.5238
44,2011-06-30,2011-07-27,1.81,1.14,0.67,58.7719
45,2011-03-31,2011-05-02,2.6,1.39,1.21,87.0504
46,2010-12-31,2011-02-14,0.6,0.4,0.2,50
47,2010-09-30,2010-10-28,0.04,0.69,-0.65,-94.2029
48,2010-06-30,2010-07-28,3.03,1.67,1.36,81.4371
49,2010-03-31,2010-04-28,3.48,1.84,1.64,89.1304
50,2009-12-31,2010-02-26,7.65,2.57,5.08,197.6654
51,2009-09-30,2009-10-29,None,1.74,None,None
52,2009-06-30,2009-07-07,None,1.7,None,None
53,2009-03-31,2009-05-05,None,0.8,None,None
54,2008-12-31,2009-03-03,None,0.99,None,None
55,2008-09-30,2008-10-28,0.37,0.4,-0.03,-7.5
56,2008-06-30,2008-07-21,0.39,0.26,0.13,50
57,2007-12-31,2008-02-27,0.03,0.27,-0.24,-88.8889
58,2007-09-30,2007-10-26,0.21,0.4,-0.19,-47.5
59,2007-06-30,2007-07-18,0.31,0.42,-0.11,-26.1905
60,2007-03-31,2007-04-25,0.41,0.26,0.15,57.6923
61,2006-12-31,2007-02-26,0.2,0.39,-0.19,-48.7179
62,2006-09-30,2006-10-30,0.35,0.44,-0.09,-20.4545
